gender,age,generated,rejected
F,0 to 5 Years,13838,2172
F,16 to 30 Years,127172,6126
F,31 to 45 Years,104809,3930
F,46 to 65 Years,75222,2714
F,6 to 15 Years,82883,5632
F,66 Years and Above,16717,967
M,0 to 5 Years,15205,2136
M,16 to 30 Years,117827,5009
M,31 to 45 Years,91797,3498
M,46 to 65 Years,70002,3042
M,6 to 15 Years,82055,5459
M,66 Years and Above,16381,1018
T,0 to 5 Years,2,0
T,16 to 30 Years,17,3
T,31 to 45 Years,28,0
T,46 to 65 Years,13,2
T,6 to 15 Years,15,0
T,66 Years and Above,2,0
